Data,Hora,Valor_LDR,Valor_Umidade
2024-09-21,15:11:03,233,15
2024-09-21,15:11:12,248,15
2024-09-21,15:11:22,222,15
2024-09-21,15:11:32,222,15
2024-09-21,15:11:42,226,15
2024-09-21,15:11:52,246,16
2024-09-21,15:12:02,250,15
2024-09-21,15:12:12,251,15
2024-09-21,15:12:22,230,15
2024-09-21,15:12:32,252,15
2024-09-21,15:12:42,250,15
2024-09-21,15:12:52,251,15
2024-09-21,15:13:02,253,15
2024-09-21,15:13:12,255,16
2024-09-21,15:13:22,254,15
2024-09-21,15:13:32,254,15
2024-09-21,15:13:42,246,15
2024-09-21,15:13:52,234,15
2024-09-21,15:14:02,231,15
2024-09-21,15:14:13,257,15
2024-09-21,15:14:23,248,15
2024-09-21,15:14:33,242,15
2024-09-21,15:14:43,248,15
2024-09-21,15:14:53,252,15
2024-09-21,15:15:03,256,15
2024-09-21,15:15:13,246,15
2024-09-21,15:15:23,247,15
2024-09-21,15:15:33,238,15
2024-09-21,15:15:43,246,15
2024-09-21,15:15:53,256,15
2024-09-21,15:16:03,256,16
2024-09-21,15:16:13,237,16
2024-09-21,15:16:23,239,15
2024-09-21,15:16:33,251,15
2024-09-21,15:16:43,256,15
2024-09-21,15:16:53,251,15
2024-09-21,15:17:03,244,15
2024-09-21,15:17:13,233,15
2024-09-21,15:17:23,236,15
2024-09-21,15:17:33,248,15
2024-09-21,15:17:43,254,15
2024-09-21,15:17:53,225,15
2024-09-21,15:18:03,235,106
2024-09-21,15:18:13,218,120
2024-09-21,15:18:23,226,123
2024-09-21,15:18:33,236,120
2024-09-21,15:18:43,259,126
2024-09-21,15:18:53,259,25
2024-09-21,15:19:03,199,16
2024-09-21,15:19:13,244,15
2024-09-21,15:19:23,221,15
2024-09-21,15:19:33,216,15
2024-09-21,15:19:43,239,15
2024-09-21,15:19:53,224,16
2024-09-21,15:20:03,232,15
2024-09-21,15:20:13,217,15
2024-09-21,15:20:23,249,15
2024-09-21,15:20:33,220,15
2024-09-21,15:20:43,196,15
2024-09-21,15:20:53,235,15
2024-09-21,15:21:03,227,15
