Data,Hora,Incidencia_Luz,Umidade_Solo,Temperatura,Umidade_Ar,Chuva,Pressao_Atmosferica,Altitude
2024-10-09,15:44:57,403.0,39.0,26.5,76.0,67.0,101197.0,10.0
2024-10-09,15:44:57,403.0,40.0,26.5,76.0,59.0,101199.0,10.0
2024-10-09,15:44:57,403.0,39.0,26.55,76.0,66.0,101202.0,10.0
2024-10-09,15:44:57,403.0,40.0,26.5,76.0,58.0,101198.0,10.0
2024-10-09,15:44:57,403.0,39.0,26.5,76.0,67.0,101196.0,10.0
2024-10-09,15:44:58,403.0,40.0,26.5,76.0,60.0,101198.0,10.0
2024-10-09,15:44:59,404.0,40.0,26.55,76.0,68.0,101199.0,10.0
2024-10-09,15:45:00,404.0,40.0,26.55,76.0,60.0,101196.0,10.0
2024-10-09,15:45:01,404.0,40.0,26.55,76.0,67.0,101194.0,10.0
2024-10-09,15:45:02,404.0,40.0,26.5,76.0,58.0,101198.0,10.0
2024-10-09,15:45:03,405.0,39.0,26.5,76.0,67.0,101195.0,10.0
2024-10-09,15:45:05,406.0,41.0,26.55,76.0,58.0,101195.0,10.0
2024-10-09,15:45:06,405.0,40.0,26.55,76.0,66.0,101197.0,10.0
2024-10-09,15:45:07,406.0,39.0,26.55,76.0,58.0,101198.0,10.0
2024-10-09,15:45:08,406.0,39.0,26.55,76.0,66.0,101196.0,10.0
2024-10-09,15:45:09,406.0,39.0,26.55,76.0,58.0,101200.0,10.0
2024-10-09,15:45:10,407.0,40.0,26.55,76.0,66.0,101193.0,10.0
2024-10-09,15:45:11,407.0,39.0,26.5,76.0,57.0,101201.0,10.0
2024-10-09,15:45:12,406.0,39.0,26.55,76.0,67.0,101196.0,10.0
2024-10-09,15:45:13,407.0,40.0,26.55,76.0,60.0,101199.0,10.0
2024-10-09,15:45:14,407.0,39.0,26.55,76.0,70.0,101198.0,10.0
2024-10-09,15:45:15,407.0,40.0,26.55,76.0,63.0,101193.0,10.0
2024-10-09,15:45:17,407.0,40.0,26.55,76.0,73.0,101202.0,10.0
2024-10-09,15:45:18,408.0,40.0,26.55,76.0,66.0,101196.0,10.0
2024-10-09,15:45:19,407.0,40.0,26.55,76.0,75.0,101196.0,10.0
2024-10-09,15:45:20,408.0,40.0,26.55,76.0,69.0,101192.0,10.0
2024-10-09,15:45:21,408.0,39.0,26.55,76.0,78.0,101193.0,10.0
2024-10-09,15:45:22,409.0,40.0,26.55,76.0,70.0,101194.0,11.0
2024-10-09,15:45:23,409.0,40.0,26.55,76.0,80.0,101190.0,11.0
2024-10-09,15:45:24,409.0,39.0,26.55,76.0,74.0,101195.0,10.0
2024-10-09,15:45:25,409.0,40.0,26.55,76.0,82.0,101196.0,10.0
2024-10-09,15:45:26,409.0,40.0,26.55,76.0,72.0,101195.0,10.0
2024-10-09,15:45:27,410.0,40.0,26.55,76.0,77.0,101197.0,10.0
2024-10-09,15:45:29,410.0,40.0,26.55,76.0,70.0,101191.0,10.0
2024-10-09,15:45:30,410.0,40.0,26.55,76.0,78.0,101199.0,10.0
2024-10-09,15:45:31,410.0,40.0,26.55,76.0,69.0,101199.0,10.0
2024-10-09,15:45:32,411.0,40.0,26.55,76.0,74.0,101199.0,10.0
2024-10-09,15:45:33,411.0,39.0,26.55,76.0,66.0,101201.0,10.0
2024-10-09,15:45:34,412.0,39.0,26.55,76.0,73.0,101191.0,10.0
2024-10-09,15:45:35,411.0,40.0,26.55,76.0,66.0,101193.0,10.0
2024-10-09,15:45:36,411.0,40.0,26.55,76.0,74.0,101196.0,10.0
2024-10-09,15:45:37,412.0,40.0,26.55,76.0,66.0,101191.0,10.0
2024-10-09,15:45:38,412.0,40.0,26.55,76.0,73.0,101197.0,10.0
2024-10-09,15:45:39,412.0,40.0,26.55,76.0,63.0,101190.0,10.0
2024-10-09,15:45:41,412.0,39.0,26.55,76.0,70.0,101198.0,10.0
2024-10-09,15:45:42,413.0,39.0,26.55,76.0,61.0,101194.0,10.0
2024-10-09,15:45:43,412.0,40.0,26.55,76.0,69.0,101202.0,10.0
2024-10-09,15:45:44,413.0,39.0,26.55,76.0,60.0,101192.0,10.0
2024-10-09,15:45:45,413.0,40.0,26.55,76.0,67.0,101195.0,10.0
2024-10-09,15:45:46,413.0,39.0,26.55,76.0,59.0,101193.0,10.0
2024-10-09,15:45:47,414.0,40.0,26.55,76.0,66.0,101193.0,10.0
2024-10-09,15:45:48,414.0,40.0,26.55,76.0,57.0,101198.0,10.0
2024-10-09,15:45:49,413.0,40.0,26.55,76.0,66.0,101192.0,10.0
2024-10-09,15:45:50,414.0,39.0,26.55,76.0,57.0,101203.0,10.0
2024-10-09,15:45:51,415.0,39.0,26.55,76.0,65.0,101191.0,10.0
2024-10-09,15:45:52,415.0,39.0,26.55,76.0,57.0,101196.0,10.0
2024-10-09,15:45:54,415.0,39.0,26.55,76.0,66.0,101198.0,10.0
2024-10-09,15:54:39,419.0,41.0,26.55,76.0,65.0,101197.0,10.0
2024-10-09,15:55:20,422.0,40.0,26.55,76.0,64.0,101194.0,10.0
2024-10-09,15:55:20,422.0,41.0,26.55,76.0,55.0,101196.0,10.0
2024-10-09,15:55:20,422.0,41.0,26.55,76.0,63.0,101191.0,10.0
2024-10-09,15:55:20,422.0,41.0,26.55,76.0,55.0,101193.0,10.0
2024-10-09,15:55:21,422.0,41.0,26.55,76.0,64.0,101191.0,10.0
2024-10-09,15:55:32,423.0,41.0,26.55,76.0,65.0,101194.0,10.0
2024-10-09,15:55:32,422.0,41.0,26.55,76.0,56.0,101192.0,10.0
2024-10-09,15:55:33,423.0,41.0,26.55,76.0,64.0,101196.0,10.0
2024-10-09,15:55:34,423.0,40.0,26.55,76.0,56.0,101196.0,10.0
2024-10-09,15:55:35,424.0,41.0,26.55,76.0,65.0,101196.0,10.0
2024-10-09,15:55:36,423.0,40.0,26.55,76.0,56.0,101191.0,10.0
2024-10-09,15:55:37,423.0,41.0,26.55,76.0,65.0,101198.0,10.0
2024-10-09,15:55:39,424.0,41.0,26.55,76.0,56.0,101198.0,11.0
2024-10-09,15:55:40,423.0,41.0,26.55,76.0,64.0,101197.0,10.0
2024-10-09,15:55:41,424.0,41.0,26.55,76.0,56.0,101194.0,10.0
2024-10-09,15:55:42,423.0,41.0,26.55,76.0,64.0,101192.0,10.0
2024-10-09,15:55:43,424.0,41.0,26.55,76.0,56.0,101192.0,11.0
2024-10-09,15:55:44,423.0,42.0,26.55,76.0,65.0,101193.0,11.0
2024-10-09,15:55:45,424.0,40.0,26.55,76.0,57.0,101194.0,11.0
2024-10-09,15:55:46,424.0,41.0,26.55,76.0,65.0,101191.0,10.0
2024-10-09,15:55:47,424.0,41.0,26.55,76.0,57.0,101191.0,11.0
2024-10-09,15:55:48,424.0,41.0,26.55,76.0,65.0,101191.0,11.0
2024-10-09,15:55:49,423.0,42.0,26.55,76.0,56.0,101192.0,10.0
2024-10-09,15:55:51,425.0,41.0,26.55,76.0,64.0,101192.0,11.0
2024-10-09,15:55:52,424.0,40.0,26.55,76.0,55.0,101185.0,10.0
2024-10-09,15:55:53,423.0,41.0,26.55,76.0,64.0,101190.0,10.0
2024-10-09,15:55:54,403.0,41.0,26.55,76.0,55.0,101188.0,11.0
2024-10-09,15:55:55,423.0,41.0,26.55,76.0,64.0,101191.0,11.0
2024-10-09,15:55:56,423.0,41.0,26.55,76.0,55.0,101191.0,10.0
2024-10-09,15:55:57,423.0,40.0,26.55,76.0,63.0,101191.0,11.0
2024-10-09,15:55:58,423.0,41.0,26.55,76.0,54.0,101195.0,10.0
2024-10-09,15:55:59,425.0,41.0,26.55,76.0,63.0,101195.0,10.0
2024-10-09,15:56:00,425.0,41.0,26.55,76.0,54.0,101190.0,10.0
2024-10-09,15:56:01,426.0,41.0,26.55,76.0,63.0,101189.0,11.0
2024-10-09,15:56:02,425.0,41.0,26.55,76.0,54.0,101191.0,11.0
2024-10-09,15:56:04,425.0,41.0,26.55,76.0,63.0,101187.0,11.0
2024-10-09,15:56:05,426.0,41.0,26.55,76.0,55.0,101191.0,11.0
2024-10-09,15:56:06,426.0,42.0,26.55,76.0,63.0,101195.0,11.0
2024-10-09,15:56:07,426.0,41.0,26.55,76.0,55.0,101199.0,10.0
2024-10-09,15:56:08,426.0,41.0,26.55,76.0,64.0,101194.0,11.0
2024-10-09,15:56:09,426.0,41.0,26.55,76.0,55.0,101190.0,11.0
2024-10-09,15:56:10,427.0,41.0,26.55,76.0,63.0,101189.0,10.0
2024-10-09,15:56:11,427.0,42.0,26.55,76.0,55.0,101196.0,10.0
2024-10-09,15:56:12,427.0,41.0,26.55,76.0,63.0,101196.0,10.0
2024-10-09,15:56:13,426.0,41.0,26.55,76.0,54.0,101194.0,10.0
2024-10-09,15:56:14,427.0,41.0,26.55,76.0,63.0,101187.0,11.0
2024-10-09,15:56:16,427.0,41.0,26.55,76.0,55.0,101190.0,11.0
2024-10-09,15:56:17,427.0,41.0,26.55,76.0,63.0,101189.0,10.0
2024-10-09,15:56:18,427.0,41.0,26.55,76.0,55.0,101194.0,10.0
2024-10-09,15:56:19,427.0,41.0,26.55,76.0,63.0,101194.0,10.0
2024-10-09,15:56:20,427.0,41.0,26.55,76.0,54.0,101196.0,10.0
2024-10-09,15:56:21,427.0,40.0,27.05,76.0,63.0,101190.0,10.0
2024-10-09,15:56:22,427.0,41.0,27.05,76.0,54.0,101202.0,10.0
2024-10-09,15:56:23,427.0,41.0,26.55,76.0,63.0,101197.0,10.0
2024-10-09,15:56:24,427.0,41.0,26.55,76.0,54.0,101195.0,10.0
2024-10-09,15:56:25,427.0,41.0,26.55,76.0,63.0,101189.0,10.0
2024-10-09,15:56:26,428.0,42.0,26.55,76.0,55.0,101190.0,10.0
2024-10-09,15:56:28,428.0,41.0,26.55,76.0,63.0,101195.0,10.0
2024-10-09,15:56:29,428.0,41.0,26.55,76.0,55.0,101201.0,11.0
2024-10-09,15:56:30,428.0,42.0,26.55,76.0,63.0,101193.0,10.0
2024-10-09,15:56:31,428.0,41.0,26.55,76.0,54.0,101190.0,10.0
2024-10-09,15:56:32,428.0,42.0,27.05,76.0,62.0,101196.0,11.0
2024-10-09,15:56:33,428.0,42.0,27.05,76.0,54.0,101191.0,10.0
2024-10-09,15:56:34,428.0,41.0,26.55,76.0,62.0,101195.0,10.0
2024-10-09,15:56:35,428.0,41.0,26.55,76.0,54.0,101190.0,10.0
2024-10-09,15:56:36,428.0,41.0,26.55,76.0,63.0,101192.0,10.0
2024-10-09,15:56:37,428.0,41.0,26.55,76.0,54.0,101196.0,10.0
2024-10-09,15:56:38,428.0,41.0,26.55,76.0,63.0,101192.0,11.0
2024-10-09,15:56:40,428.0,41.0,26.55,76.0,54.0,101190.0,11.0
2024-10-09,15:56:41,429.0,42.0,26.55,76.0,62.0,101189.0,10.0
2024-10-09,15:56:42,428.0,41.0,26.55,76.0,54.0,101194.0,10.0
2024-10-09,15:56:43,429.0,41.0,26.55,76.0,63.0,101192.0,10.0
2024-10-09,15:56:44,429.0,41.0,26.55,76.0,54.0,101184.0,11.0
2024-10-09,15:56:45,429.0,41.0,26.55,76.0,62.0,101192.0,11.0
2024-10-09,15:56:46,429.0,42.0,26.55,76.0,54.0,101195.0,11.0
2024-10-09,15:56:47,429.0,42.0,26.55,76.0,63.0,101191.0,10.0
2024-10-09,15:56:48,429.0,41.0,26.55,76.0,54.0,101188.0,10.0
2024-10-09,15:56:49,429.0,42.0,26.55,76.0,62.0,101190.0,10.0
2024-10-09,15:56:50,430.0,41.0,26.55,76.0,54.0,101185.0,10.0
2024-10-09,15:56:52,429.0,41.0,26.55,76.0,63.0,101187.0,10.0
2024-10-09,15:56:53,429.0,41.0,26.55,76.0,54.0,101188.0,11.0
2024-10-09,15:56:54,430.0,41.0,26.55,76.0,62.0,101192.0,11.0
2024-10-09,15:56:55,430.0,42.0,26.55,76.0,54.0,101187.0,10.0
2024-10-09,15:56:56,430.0,41.0,26.55,76.0,63.0,101194.0,11.0
2024-10-09,15:56:57,430.0,41.0,26.55,76.0,54.0,101188.0,11.0
2024-10-09,15:56:58,429.0,41.0,26.55,76.0,63.0,101192.0,11.0
2024-10-09,15:56:59,430.0,42.0,26.55,76.0,54.0,101190.0,10.0
2024-10-09,15:57:00,430.0,41.0,26.55,76.0,62.0,101185.0,11.0
2024-10-09,15:57:01,430.0,41.0,26.55,76.0,54.0,101191.0,11.0
2024-10-09,15:57:02,430.0,41.0,26.55,76.0,62.0,101187.0,11.0
2024-10-09,15:57:03,430.0,41.0,26.55,76.0,54.0,101191.0,11.0
2024-10-09,15:57:05,430.0,41.0,26.55,76.0,62.0,101197.0,11.0
2024-10-09,15:57:06,431.0,41.0,26.55,76.0,54.0,101190.0,11.0
2024-10-09,15:57:07,430.0,42.0,26.55,76.0,62.0,101192.0,11.0
2024-10-09,15:57:08,430.0,41.0,26.55,76.0,54.0,101197.0,11.0
2024-10-09,15:57:09,431.0,41.0,26.55,76.0,62.0,101195.0,10.0
2024-10-09,15:57:10,431.0,41.0,26.55,76.0,55.0,101192.0,11.0
2024-10-09,15:57:11,431.0,41.0,26.55,76.0,62.0,101194.0,10.0
